Type,RdProduction,RdProduction,RdProduction,RdProduction,RdRecolte,RdRecolte,RdRecolte,RdRecolte
Season,Ete,Ete,Hiver,Hiver,Ete,Ete,Hiver,Hiver
Year,2010,2050,2010,2050,2010,2050,2010,2050
Code_Departement,,,,,,,,
01,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
02,0.920000000000001,4.136,2.92,4.27199999999999,0.0,2.68,0.4,2.96
03,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
04,0,2.136,1.92,3.272,0.0,0,0,1.34
05,0,2.136,1.92,3.272,0.0,0,0,1.34
06,0,2.136,1.92,3.272,0.0,0,0,1.34
07,0,2.136,1.92,3.272,0.0,0,0,1.34
08,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
09,0,2.136,1.92,3.272,0.0,0,0,1.34
10,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
11,0,2.136,1.92,3.272,0.0,0,0,1.34
12,0,2.136,1.92,3.272,0.0,0,0,1.34
13,0,2.136,1.92,3.272,0.0,0,0,1.34
14,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
15,0,3.136,1.92,3.272,0.0,0.4,0,1.34
16,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
17,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
18,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
19,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
21,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
22,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
23,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
24,0,2.136,2.92,4.27199999999999,0.0,0,0.4,2.96
25,0,3.136,1.92,3.272,0.0,0.4,0,1.34
26,0,2.136,1.92,3.272,0.0,0,0,1.34
27,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
28,0.92,4.136,3.92,5.272,0.0,2.68,2.22,4.892
29,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
2A,0,2.136,1.92,3.272,0.0,0,0,1.34
2B,0,2.136,1.92,3.272,0.0,0,0,1.34
30,0,2.136,1.92,3.272,0.0,0,0,1.34
31,0,2.136,2.92,4.27199999999999,0.0,0,0.4,2.96
32,0,2.136,2.92,4.272,0.0,0,0.4,2.96
33,0,2.136,2.92,4.27199999999999,0.0,0,0.4,2.96
34,0,2.136,1.92,3.272,0.0,0,0,1.34
35,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
36,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
37,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
38,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
39,0,3.136,1.92,3.272,0.0,0.4,0,1.34
40,0,2.136,2.92,4.272,0.0,0,0.4,2.96
41,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
42,0,3.136,1.92,3.272,0.0,0.4,0,1.34
43,0,3.136,1.92,3.272,0.0,0.4,0,1.34
44,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
45,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
46,0,2.136,1.92,3.272,0.0,0,0,1.34
47,0,2.136,2.92,4.27199999999999,0.0,0,0.4,2.96
48,0,2.136,1.92,3.272,0.0,0,0,1.34
49,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
50,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
51,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
52,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
53,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
54,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
55,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
56,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
57,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
58,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
59,0.920000000000001,4.136,2.91999999999999,4.27199999999999,0.0,2.68,0.399999999999999,2.96
60,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
61,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
62,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
63,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
64,0,2.136,2.92,4.27199999999999,0.0,0,0.4,2.96
65,0,2.136,2.92,4.272,0.0,0,0.4,2.96
66,0,2.136,1.92,3.272,0.0,0,0,1.34
67,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
68,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
69,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
70,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
71,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
72,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
73,0,3.136,1.92,3.272,0.0,0.4,0,1.34
74,0,3.136,1.92,3.272,0.0,0.4,0,1.34
75,0.92,4.136,3.92,5.272,0.0,2.68,2.22,4.892
76,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
77,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
78,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
79,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
80,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
81,0,2.136,2.92,4.27199999999999,0.0,0,0.4,2.96
82,0,2.136,2.92,4.272,0.0,0,0.4,2.96
83,0,2.136,1.92,3.272,0.0,0,0,1.34
84,0,2.136,1.92,3.272,0.0,0,0,1.34
85,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
86,0,3.136,3.92,5.272,0.0,0.4,2.22,4.892
87,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
88,0,3.136,2.92,4.272,0.0,0.4,0.4,2.96
89,0,3.136,2.92,4.27199999999999,0.0,0.4,0.4,2.96
90,0,3.136,1.92,3.272,0.0,0.4,0,1.34
91,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
92,0.92,4.136,3.92,5.272,0.0,2.68,2.22,4.892
93,0.92,4.136,3.92,5.272,0.0,2.68,2.22,4.892
94,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
95,0.920000000000001,4.136,3.92,5.272,0.0,2.68,2.22,4.892
